WKN;Name;ISIN;Branche;Sektor;Sell-Kurs;Buy-Kurs;Land;Anzahl_Aktien;Marktkapitalisierung;Stock3Score;Momentum_&_Vola;Kursperform_6_M;Kursperform_1_J;Delta_52_Wochen_Hoch;Vola_1_J;Bewertung;KUV;Free_Cash_Flow;PEG_Ratio;KGV_(2023);KGV_(2024);Kursziel;Wachstum;Umsatzwachstum_ueber_5_J;EPS_Wachstum_ueber_5_J;Umsatzwachstum_(2023);Umsatzwachstum_(2024);Wachstum_des_verwaesserten_Gewinns_je_Aktie_(2023);Wachstum_des_verwaesserten_Gewinns_je_Aktie_(2024);Qualitaet_und_Verschuldung;Eigenkapitalrendite;Eigenkapitalquote;EBIT_Marge;Liquiditaet_dritten_Grades;Liquiditaet_zweiten_Grades;Verhaeltnis_aus_Schulden_zum_EK;Verhaeltnis_aus_Schulden_und_Vermoegenswerten;Zinsdeckungsgrad;Dividende_&_Aktienrueckkaeufe;Gesamtrendite;Payout_Ratio;Dividende_(2023);Dividende_(2024)
120159;NeoGenomics Inc.;US64049M2098;Medizinische Diagnostik und Forschung;Gesundheitswesen;13,30;13,40;USA;127,47 Mio.;1,83 Mrd. $;13;32;6,40;3,50;-30,73;0,626;17;3,13;859,23;2,09;;160,82;40,17;81;112,78;-348,41;7,40;8,45;52,10;207,21;37;-9,83;-18,38;57,36;6,73;6,20;61,21;35,11;-10.480,48;8;0,00;;0,00;0,00
857209;Thermo Fisher Scientific Inc.;US8835561023;Medizinische Diagnostik und Forschung;Gesundheitswesen;528,00;553,00;USA;386,37 Mio.;212,79 Mrd. $;43;64;1,28;-3,62;-7,15;0,222;22;4,99;34,59;2,73;25,52;22,66;7,73;56;75,95;194,80;0,09;7,31;0,14;12,61;68;13,37;17,48;45,27;1,48;1,06;78,42;35,50;1.179,20;32;1,66;6,81;0,30;0,30
866197;Danaher Corp.;US2358511028;Medizinische Diagnostik und Forschung;Gesundheitswesen;241,54;243,36;USA;739,20 Mio.;179,59 Mrd. $;39;49;-4,88;-6,14;-9,89;0,278;16;7,56;33,23;3,17;31,69;27,99;9,08;47;40,13;100,53;0,87;8,25;1,13;13,23;82;12,02;23,85;59,37;1,89;1,30;42,84;24,59;4.029,86;30;0,43;10,35;0,40;0,40
888210;IDEXX Laboratories Inc.;US45168D1046;Medizinische Diagnostik und Forschung;Gesundheitswesen;556,12;915,48;USA;83,05 Mio.;47,52 Mrd. $;12;84;13,19;17,80;-1,29;0,299;8;13,13;62,13;5,65;51,21;44,73;7,72;79;65,41;131,80;9,18;10,40;11,07;14,47;22;92,79;30,12;22,16;0,89;0,49;241,49;53,52;2.257,59;3;0,15;;0,00;0,00
A2JSPM;IQVIA Holdings Inc.;US46266C1053;Medizinische Diagnostik und Forschung;Gesundheitswesen;187,32;251,27;USA;182,50 Mio.;39,82 Mrd. $;16;60;-0,75;-2,08;-7,12;0,255;49;2,75;39,62;1,89;19,74;17,21;11,62;73;43,15;702,25;4,50;7,75;8,48;14,72;10;20,01;13,33;22,75;0,89;0,77;225,69;51,35;427,64;12;2,08;;0,00;0,00
120470;Telecom Italia S.p.A.;IT0003497168;Telekommunikationsdienstleistungen;Kommunikationsdienstleistungen;0,2706;0,2708;Italien;21,25 Mrd.;6,00 Mrd. €;3;37;-1,20;-10,72;-17,07;0,355;48;0,35;83,13;0,47;;;34,23;41;-14,19;70,26;1,44;-0,75;62,16;81,76;1;-8,97;0,56;24,28;0,72;0,58;207,08;50,28;55,49;27;0,12;3,03;0,00;0,50
A1T7LU;T-Mobile US Inc.;US8725901040;Telekommunikationsdienstleistungen;Kommunikationsdienstleistungen;161,55;163,26;USA;1,19 Mrd.;192,49 Mrd. $;49;95;17,23;12,86;-2,26;0,177;47;2,48;38,78;0,77;17,79;14,12;14,10;71;79,35;124,49;2,73;3,44;29,83;26,05;11;12,38;18,25;31,16;0,91;0,68;174,74;54,45;429,81;55;7,19;9,38;1,40;1,60
157484;Comcast Corp. Class A;US20030N1019;Telekommunikationsdienstleistungen;Kommunikationsdienstleistungen;41,92;42,23;USA;3,97 Mrd.;167,10 Mrd. $;49;57;-8,60;9,67;-11,35;0,238;79;1,44;19,90;0,69;9,81;9,04;21,08;20;14,16;49,43;2,30;-0,16;14,98;8,53;21;18,81;20,21;31,23;0,60;0,50;117,40;36,66;601,05;75;9,52;31,27;3,00;3,20
868402;Verizon Communications Inc.;US92343V1044;Telekommunikationsdienstleistungen;Kommunikationsdienstleistungen;39,610;39,690;USA;4,20 Mrd.;166,99 Mrd. $;35;75;19,06;-0,72;-8,08;0,244;64;1,25;26,32;1,09;8,64;8,42;11,74;3;2,40;25,27;1,29;1,34;-2,44;2,61;18;22,56;24,34;24,01;0,75;0,54;193,46;46,44;882,48;89;6,63;51,09;6,80;6,90
A0HL9Z;AT & T Inc.;US00206R1023;Telekommunikationsdienstleistungen;Kommunikationsdienstleistungen;16,80;16,82;USA;7,15 Mrd.;120,41 Mrd. $;10;55;17,19;-11,69;-15,76;0,272;76;1,00;13,13;1,30;7,58;7,31;13,36;1;-28,30;-15,44;0,93;0,68;-7,78;3,71;2;-10,18;0,21;24,20;0,59;0,27;158,65;38,40;49,35;74;6,75;76,19;6,70;6,70
