WKN;Name;ISIN;Branche;Sektor;Stock3Score;Momentum & Vola;Kursperform 6 M;Kursperform 1 J;Delta 52 Wochen Hoch;Vola 1 J;Bewertung;KUV;Free Cash Flow;PEG Ratio;KGV (2023);KGV (2024);Kursziel;Wachstum;Umsatzwachstum ueber 5 J;EPS-Wachstum ueber 5 J;Umsatzwachstum (2023);Umsatzwachstum (2024);Wachstum des verwaesserten Gewinns je Aktie (2023);Wachstum des verwaesserten Gewinns je Aktie (2024);Qualitaet und Verschuldung;Eigenkapitalrendite;Eigenkapitalquote;EBIT-Marge;Liquiditaet dritten Grades;Liquiditaet zweiten Grades;Verhaeltnis aus Schulden zum EK;Verhaeltnis aus Schulden und  Vermoegenswerten;Zinsdeckungsgrad;Dividende & Aktienrueckkaeufe;Gesamtrendite;Payout Ratio;Dividende (2023);Dividende (2024
A1EWWW;adidas AG;DE000A1EWWW0;Schuhe und Accessoires;Zyklische Konsumgüter;13;83;11,50;77,53;-6,21;0,382;19;1,31;neg.;0,88;neg.;39,87;5,59;21;-1,18;-102,48;-3,79;7,93;-106,25;1.958,21;14;-2,20;-0,27;24,59;1,27;0,41;129,41;31,82;383,21;36;2,28;20,96;0,20;1,00
866993;NIKE Inc.;US6541061031;Schuhe und Accessoires;Zyklische Konsumgüter;47;49;-16,62;17,16;-20,97;0,298;18;3,09;34,75;1,87;30,33;27,91;15,36;47;35,95;45,79;9,65;3,83;-13,87;13,69;78;33,91;11,32;37,31;2,72;1,60;86,72;32,36;71.025,00;49;5,18;41,02;1,29;1,40
894298;Deckers Outdoor Corp.;US2435371073;Schuhe und Accessoires;Zyklische Konsumgüter;87;90;6,74;44,40;-9,94;0,299;12;3,60;30,07;2,13;24,39;22,66;20,05;90;98,53;153,23;15,14;10,58;19,13;15,84;98;32,71;18,81;69,08;3,84;2,59;13,96;9,64;19.451,60;17;1,77;-;-;0,00
696960;PUMA SE;DE0006969603;Schuhe und Accessoires;Zyklische Konsumgüter;44;43;-6,50;12,52;-23,57;0,355;42;0,91;56,85;1,09;21,85;15,82;34,24;82;92,25;87,98;5,57;9,37;-0,44;37,71;44;12,81;7,04;36,49;1,48;0,56;52,21;19,05;546,00;41;1,38;34,75;1,60;2,20
A3C20K;On Holding AG;CH1134540470;Schuhe und Accessoires;Zyklische Konsumgüter;49;31;-20,85;55,71;-31,93;0,564;2;9,35;neg.;-;50,15;33,09;43,12;99;772,92;12.354,38;46,16;30,55;151,38;51,55;79;4,27;3,17;70,14;4,33;2,59;16,54;11,60;1.911,63;1;0,00;-;0,00;0,00
840400;Allianz SE;DE0008404005;Versicherung - Diversifizierte;Finanzdienstleistungen;83;93;-0,70;21,74;-5,76;0,163;62;0,73;362,61;0,90;9,59;8,56;15,44;74;52,34;33,24;37,21;2,76;42,04;11,09;42;15,75;10,67;5,04;;;69,53;3,50;771,00;67;5,39;70,11;5,50;5,90
854075;Berkshire Hathaway Inc.;US0846701086;Versicherung - Diversifizierte;Finanzdienstleistungen;47;96;10,88;8,07;-7,47;0,166;16;1,90;40,14;9,95;20,55;19,41;14,89;91;40,67;930,69;35,38;16,03;62,28;5,86;60;17,31;28,04;;;;;;;6;1,25;;0,00;0,00
579919;Zurich Insurance Group AG;CH0011075394;Versicherung - Diversifizierte;Finanzdienstleistungen;77;86;4,62;5,05;-3,36;0,159;49;1,01;12,57;1,88;12,96;11,83;6,16;59;16,93;46,05;33,24;3,55;18,22;9,65;54;18,41;10,74;;;;;;;87;8,84;;6,00;6,50
855705;AXA S.A.;FR0000120628;Versicherung - Diversifizierte;Finanzdienstleistungen;80;83;-4,71;11,26;-8,31;0,201;76;0,60;11,73;1,12;8,24;7,62;21,78;29;-34,43;325,70;-28,89;4,40;18,42;8,19;36;13,14;8,84;;;;;;;93;9,70;;6,70;7,20
A0X88Z;American International Grp Inc;US0268747849;Versicherung - Diversifizierte;Finanzdienstleistungen;77;96;19,60;18,67;-3,51;0,262;76;0,90;16,74;0,56;9,45;8,08;14,73;23;6,77;66.176,51;-10,33;-2,31;-49,64;16,83;47;11,09;14,30;;;;;;;69;9,69;;2,30;2,50
BASF11;BASF SE;DE000BASF111;Chemikalien;Grundstoffe;56;40;-16,71;-8,69;-22,65;0,253;76;0,49;16,11;0,60;11,82;9,46;16,45;40;20,78;-31,30;-16,71;3,64;402,49;24,97;21;-4,53;0,38;46,85;1,83;0,89;52,94;24,80;265,05;94;8,77;56,67;8,00;7,90
A2PFRC;Dow Inc.;US2605571031;Chemikalien;Grundstoffe;43;64;-10,09;10,97;-17,73;0,244;35;0,73;9,42;3,52;22,06;13,31;12,06;11;-10,82;-63,17;-22,25;4,52;-63,94;66,01;49;9,01;6,38;34,19;1,81;1,03;80,64;27,57;1.019,94;89;8,55;44,59;5,60;5,80
A0DP2A;Celanese Corp. (Del.);US1508701034;Chemikalien;Grundstoffe;36;80;11,69;28,83;-8,98;0,356;35;1,30;20,97;4,10;13,13;9,65;11,29;59;56,23;1,00;15,56;5,09;-48,06;36,28;23;24,16;12,37;21,46;1,63;0,88;268,33;57,57;450,86;49;2,23;15,92;2,30;2,40
856200;Solvay S.A.;BE0003470755;Chemikalien;Grundstoffe;66;72;-7,53;6,87;-11,83;0,234;78;0,71;10,31;1,37;8,11;8,51;27,81;9;12,13;58,77;-21,16;1,93;-26,62;-4,79;57;12,31;10,18;51,32;1,44;0,79;27,89;14,31;1.922,88;69;3,86;22,13;3,80;3,90
;Univar Solutions Inc.;;Chemikalien;Grundstoffe;54;97;access denied;access denied;access denied;access denied;53;-;-;-;12,64;10,63;instrument n/a;36;27,37;134,43;-4,19;1,18;-13,07;18,88;40;17,53;6,54;34,90;-;-;-;-;-;42;-;-;0,90;2,00
BAY001;Bayer AG;DE000BAY0017;Arzneimittelhersteller - Allgemeines;Gesundheitswesen;65;27;-29,79;-20,00;-35,67;0,247;91;0,91;18,23;1,57;6,53;5,54;51,26;61;31,43;258,88;-4,83;2,79;53,08;17,69;23;3,86;8,69;31,05;1,08;0,61;106,57;33,09;351,48;84;5,28;56,87;5,40;5,70
858560;Eli Lilly and Company;US5324571083;Arzneimittelhersteller - Allgemeines;Gesundheitswesen;56;100;62,01;84,41;-3,61;0,267;8;18,87;127,96;1,62;62,22;48,32;-2,73;94;55,01;210,84;16,73;16,76;40,84;28,71;47;66,27;25,98;21,52;1,05;0,63;152,48;32,81;2.152,59;32;0,96;56,81;0,70;0,90
853260;Johnson & Johnson;US4781601046;Arzneimittelhersteller - Allgemeines;Gesundheitswesen;38;64;-6,63;-7,26;-15,64;0,164;44;4,26;23,00;5,21;15,14;14,09;16,39;31;3,59;76,09;-10,99;3,82;46,96;8,74;36;17,23;17,22;40,99;0,99;0,77;51,64;21,17;7.971,38;63;3,82;66,12;3,00;3,10
A1J84E;AbbVie Inc.;US00287Y1091;Arzneimittelhersteller - Allgemeines;Gesundheitswesen;32;72;-7,70;4,30;-11,20;0,199;51;4,73;13,31;5,92;13,49;13,44;12,70;47;63,52;201,78;-7,75;-0,88;66,55;0,36;15;62,76;22,64;12,43;0,96;0,69;366,70;45,58;704,35;55;4,67;86,12;3,80;4,20
A0YD8Q;Merck & Co. Inc.;US58933Y1055;Arzneimittelhersteller - Allgemeines;Gesundheitswesen;60;74;-10,67;9,36;-14,76;0,192;65;4,54;19,68;0,87;33,68;12,09;21,51;49;40,19;29,46;0,01;5,53;-47,13;178,58;39;7,59;10,99;42,13;1,47;0,93;66,73;28,12;1.809,36;58;3,03;48,34;2,90;3,20
519000;BMW AG;DE0005190003;Automobilhersteller;Zyklische Konsumgüter;91;80;-4,46;20,62;-15,12;0,221;92;0,37;7,68;0,26;5,27;5,72;13,86;27;54,39;71,67;4,85;1,72;-33,37;-7,67;51;11,28;11,32;35,28;1,09;0,73;82,14;28,98;10.321,30;89;8,82;31,12;6,00;5,60
A1CX3T;Tesla Inc.;US88160R1014;Automobilhersteller;Zyklische Konsumgüter;38;61;48,89;9,30;-18,91;0,592;2;9,43;103,04;2,25;74,04;53,98;4,36;95;361,93;760,55;21,69;26,29;-18,66;37,48;83;27,96;14,36;54,29;1,53;0,94;12,86;6,98;7.282,72;0;0,00;-;0,00;0,00
853510;Toyota Motor Corp.;JP3633400001;Automobilhersteller;Zyklische Konsumgüter;73;98;37,75;19,37;-9,16;0,208;31;0,92;neg.;2,91;10,45;9,83;13,12;85;40,01;104,79;18,40;13,90;-12,55;48,47;45;10,49;11,27;38,14;1,10;0,89;103,68;39,54;7.847,13;58;3,37;33,43;2,95;2,80
710000;Mercedes-Benz AG;DE0007100000;Automobilhersteller;Zyklische Konsumgüter;80;66;-9,05;8,79;-16,22;0,211;82;0,44;12,03;63,50;4,88;5,01;40,01;17;-8,07;92,47;2,56;2,17;-3,69;-2,59;51;18,69;14,05;32,85;1,16;0,74;98,83;32,47;4.855,04;94;7,89;38,38;8,20;8,20
A2QL01;Stellantis N.V.;NL00150001Q9;Automobilhersteller;Zyklische Konsumgüter;99;99;24,29;33,91;-5,34;0,264;97;0,31;7,34;0,30;3,15;3,40;27,69;47;72,32;148,23;5,94;1,43;8,11;-7,58;67;27,85;12,79;38,68;1,27;0,93;37,71;14,59;1.723,97;96;10,53;25,24;8,60;8,30
543900;Continental AG;DE0005439004;Autoteile;Zyklische Konsumgüter;44;61;-1,91;20,45;-20,77;0,324;81;0,33;132,76;0,23;8,13;6,62;24,23;48;-4,80;-46,70;7,27;3,71;2.240,40;22,74;30;4,88;3,93;34,96;1,14;0,63;57,88;20,23;333,36;30;2,25;454,55;3,20;4,20
A3DW3V;Mobileye Global;US60741F1049;Autoteile;Zyklische Konsumgüter;-;33;-19,51;23,75;-25,48;0,548;4;15,31;66,76;-;-;-;;-;-;-;-;-;-;-;57;-0,94;-3,74;95,81;3,95;3,37;-;-;-33,33;-;-;-;-;-
A1JPLB;Aptiv PLC;JE00B783TY65;Autoteile;Zyklische Konsumgüter;56;43;-13,26;7,05;-26,32;0,335;52;1,36;78,88;0,72;19,41;14,88;39,89;85;39,45;17,19;15,10;9,66;141,56;30,53;61;10,32;8,76;40,25;1,60;1,07;79,02;31,81;552,05;29;0,35;22,86;0,10;0,20
A3DL84;Michelin;FR001400AJ45;Autoteile;Zyklische Konsumgüter;73;89;3,06;9,61;-6,44;0,210;56;0,71;16,22;6,99;9,01;8,72;14,70;27;30,54;37,65;0,58;1,97;13,89;3,28;57;14,16;11,70;48,41;1,67;0,78;42,90;20,77;863,22;80;4,30;44,80;5,00;5,30
