WKN;Name;ISIN;Branche;Sektor;Stock3Score;Momentum_&_Vola;Kursperform_6_M;Kursperform_1_J;Delta_52_Wochen_Hoch;Vola_1_J;Bewertung;KUV;Free_Cash_Flow;PEG_Ratio;KGV_(2023);KGV_(2024);Kursziel;Wachstum;Umsatzwachstum_ueber_5_J;EPS-Wachstum_ueber_5_J;Umsatzwachstum_(2023);Umsatzwachstum_(2024);Wachstum_des_verwaesserten_Gewinns_je_Aktie_(2023);Wachstum_des_verwaesserten_Gewinns_je_Aktie_(2024);Qualitaet_und_Verschuldung;Eigenkapitalrendite;Eigenkapitalquote;EBIT-Marge;Liquiditaet_dritten_Grades;Liquiditaet_zweiten_Grades;Verhaeltnis_aus_Schulden_zum_EK;Verhaeltnis_aus_Schulden_und_Vermoegenswerten;Zinsdeckungsgrad;Dividende_&_Aktienrueckkaeufe;Gesamtrendite;Payout_Ratio;Dividende_(2023);Dividende_(2024
A1EWWW;adidas AG;DE000A1EWWW0;Schuhe und Accessoires;Zyklische Konsumgüter;13;82;6,28;70,92;-10,62;0,383;20;1,31;;0,88;4.637,33;38,34;11,18;21;-1,02;-100,27;-3,64;7,96;-100,68;19.448,56;14;-2,20;-0,27;24,59;1,27;0,41;129,41;31,82;383,21;36;2,28;20,96;0,20;1,00
866993;NIKE Inc.;US6541061031;Schuhe und Accessoires;Zyklische Konsumgüter;47;52;-19,21;16,01;-21,81;0,296;16;3,14;34,62;1,90;30,33;27,62;16,59;47;35,95;45,79;9,65;3,83;-13,87;13,69;80;33,91;11,32;37,31;2,72;1,60;86,72;32,36;71.025,00;49;5,18;41,02;1,29;1,40
894298;Deckers Outdoor Corp.;US2435371073;Schuhe und Accessoires;Zyklische Konsumgüter;87;87;1,58;36,97;-12,47;0,296;11;3,73;29,63;2,13;24,39;22,00;23,51;90;98,55;153,29;15,14;10,59;19,13;15,86;98;32,71;18,81;69,08;3,84;2,59;13,96;9,64;19.451,60;17;1,77;;;0,00
A3C20K;On Holding AG;CH1134540470;Schuhe und Accessoires;Zyklische Konsumgüter;49;30;-25,50;51,94;-32,47;0,564;2;9,20;;;49,38;32,58;44,98;99;772,92;12.354,38;46,16;30,55;151,38;51,55;79;4,27;3,17;70,14;4,33;2,59;16,54;11,60;1.911,63;1;0,00;;0,00;0,00
696960;PUMA SE;DE0006969603;Schuhe und Accessoires;Zyklische Konsumgüter;49;51;-4,54;11,36;-26,05;0,355;42;0,91;56,21;1,09;21,36;15,46;38,74;83;92,12;87,98;5,50;9,39;-0,44;38,10;44;12,81;7,04;36,49;1,48;0,56;52,21;19,05;546,00;41;1,38;34,75;1,60;2,20
840400;Allianz SE;DE0008404005;Versicherung - Diversifizierte;Finanzdienstleistungen;83;92;-4,63;18,63;-7,82;0,164;62;0,73;360,23;0,90;9,46;8,43;18,03;74;52,56;32,01;37,41;2,97;40,73;12,06;42;15,75;10,67;5,04;;;69,53;3,50;771,00;67;5,39;70,11;5,60;6,00
854075;Berkshire Hathaway Inc.;US0846701086;Versicherung - Diversifizierte;Finanzdienstleistungen;47;95;7,49;6,78;-9,08;0,166;17;1,90;39,81;9,95;20,27;19,15;16,45;91;40,67;930,69;35,38;16,03;62,28;5,86;60;17,31;28,04;49,80;;;25,99;12,94;-602,57;6;1,25;;0,00;0,00
579919;Zurich Insurance Group AG;CH0011075394;Versicherung - Diversifizierte;Finanzdienstleistungen;77;83;2,37;2,54;-5,79;0,160;49;1,01;12,57;1,88;12,95;11,73;8,17;59;16,93;46,05;33,24;3,55;18,21;9,58;54;18,41;10,74;7,05;;;58,84;4,15;1.528,34;87;8,84;;6,10;6,60
855705;AXA S.A.;FR0000120628;Versicherung - Diversifizierte;Finanzdienstleistungen;81;80;-8,80;8,19;-10,98;0,203;76;0,60;11,73;1,12;8,08;7,47;25,43;29;-34,43;325,70;-28,89;4,40;18,42;8,19;36;13,14;8,84;6,51;;;140,56;9,15;1.926,00;93;9,70;60,07;6,80;7,40
A0X88Z;American International Grp Inc;US0268747849;Versicherung - Diversifizierte;Finanzdienstleistungen;77;91;14,86;11,77;-8,25;0,263;80;0,91;16,46;0,56;8,98;7,69;20,66;23;6,77;66.176,51;-10,33;-2,31;-49,64;16,83;47;11,09;14,30;7,60;;;67,94;5,16;1.369,51;71;9,69;9,84;2,40;2,60
BASF11;BASF SE;DE000BASF111;Chemikalien;Grundstoffe;56;43;-15,25;-10,18;-24,56;0,254;77;0,49;16,00;0,60;11,69;9,38;19,18;40;20,78;-31,30;-16,71;3,64;402,49;24,97;21;-4,53;0,38;46,85;1,83;0,89;52,94;24,80;265,05;94;8,77;56,67;8,20;8,00
A2PFRC;Dow Inc.;US2605571031;Chemikalien;Grundstoffe;43;61;-11,55;4,52;-19,52;0,241;36;0,73;9,32;3,47;21,58;13,02;14,55;10;-10,91;-63,31;-22,34;3,91;-64,08;65,76;49;9,01;6,38;34,19;1,81;1,03;80,64;27,57;1.019,94;89;8,55;44,59;5,80;5,90
A0DP2A;Celanese Corp. (Del.);US1508701034;Chemikalien;Grundstoffe;36;80;9,03;21,75;-12,08;0,356;35;1,27;20,74;4,10;12,69;9,32;15,21;59;56,18;1,03;15,53;5,08;-48,04;36,11;23;24,16;12,37;21,46;1,63;0,88;268,33;57,57;450,86;49;2,23;15,92;2,40;2,50
